-0.0816156	-1.06536	0.0763849	0.997078	1.06848	-0.0764594	-0.773122	-1.01238	-0.683968	-1.01921
-0.747614	-0.049046	0.997855	0.0654627	0.749221	-1.50529	-0.683968	-1.01921	-0.651804	-1.50949
-1.13745	-0.886056	0.788891	0.614534	1.44183	-0.909002	-0.651804	-1.50949	-0.534559	-1.66
0.501754	-1.69251	-0.284229	0.958756	1.76531	0.288202	0.139161	-1.8	0.336222	-1.74158
-0.10465	-1.71467	0.0609189	0.998143	1.71786	-0.0609566	0.336222	-1.74158	1.29342	-1.8
1.73495	-0.690298	-0.929155	0.369691	1.86723	1.19212	1.29342	-1.8	1.33879	-1.68597
0.696786	0.233102	-0.94834	-0.317256	0.734744	1.89363	1.33879	-1.68597	1.28234	-1.51723
0.632447	-1.75185	-0.339566	0.940582	1.86252	0.346455	1.28234	-1.51723	1.33508	-1.49819
1.34707	-0.010861	-0.999967	0.00806241	1.34712	1.56273	1.33508	-1.49819	1.34	-0.88797
0.0315559	1.12586	-0.0280171	-0.999607	1.12631	3.11357	2.09393	1.06806	1.74	1.07798
1.74	0	-1	0	1.74	1.5708	1.74	1.07798	1.74	1.48807
1.97321	1.04969	-0.882851	-0.469653	2.23504	2.05969	1.74	1.48807	1.60598	1.74
0.0151256	1.75372	-0.0086245	-0.999963	1.75379	3.13297	1.60598	1.74	0.975243	1.74544
0.978191	0.00165367	-0.999999	-0.00169053	0.978192	1.57249	0.975243	1.74544	0.974053	2.44933
