-0.67165	-1.02
-0.585143	-1.00897

-0.705896	-0.995267
-0.616797	-1.00278

-0.585143	-1.00897
-0.5946	-1.29836

-0.616797	-1.00278
-0.588419	-1.4933

-0.588419	-1.4933
-0.47234	-1.64471

-0.5946	-1.29836
-0.434795	-1.7

0.200279	-1.78991
0.397785	-1.73301

0.237143	-1.76
1.40388	-1.8

1.3545	-1.79882
1.40075	-1.68514

1.40075	-1.68514
1.34561	-1.51597

1.34561	-1.51597
1.39849	-1.49734

0.237143	-1.76
1.40388	-1.8

1.39849	-1.49734
1.40812	-0.887175

1.40388	-1.8
1.38368	-1.52568

2.17713	1.06298
1.82329	1.07563

1.38368	-1.52568
1.43593	-1.51544

1.82329	1.07563
1.82646	1.48571

1.84	1.49192
1.69439	1.73866

1.70738	1.74
1.06371	1.74897

1.06805	1.7466
1.07354	2.47624

1.8	1.12606
1.84	1.49192

1.84	1.49192
1.70738	1.74

1.70738	1.74
1.06805	1.7466

1.06805	1.7466
1.07354	2.47624

-1.19106	2.82591
-1.29252	2.3945

-1.29252	2.3945
-1.22864	1.78

-1.22864	1.78
-1.29538	1.30105

